"Sno","SP_CODE","DISTRICT","MANDAL","VILLAGE","LON","LAT","09-04-25","10-04-25","11-04-25","12-04-25","13-04-25","14-04-25","15-04-25","16-04-25","17-04-25"
1,826001,"PRAKASAM","JANAKAVARAMPANGULU","Ramakuru",80.03999,15.892867,40.69,42.34,42.97,39.74,38.68,42.53,42.04,41.39,43.47
2,1315004,"KURNOOL","JUPADUBUNGALOW","Bollavaram",78.377097,15.885363,40.06,40.46,40.8,38.41,37.73,38.24,38.7,39.29,40.29
3,1330889,"KURNOOL","ATMAKURKURNOOL","Pinnapuram",78.654945,15.886427,37.37,38.54,39.38,37.11,35.71,37.4,37.52,38.8,38.63
4,820009,"PRAKASAM","MARTUR","LakkavaramAgraharam",80.061727,15.906479,40.84,42.26,43.09,39.19,39.3,42.67,42.28,42.53,43.82
5,1303014,"KURNOOL","MANTRALAYAM","Budur",77.380195,15.868793,38.2,40.05,39.44,38.18,38.3,37.43,38.94,39.41,40.9
6,805004,"PRAKASAM","DONAKONDA","PadamaraLakshmipuram",79.387233,15.888066,39.87,41.61,41.32,38.09,38.82,40,40.15,39.26,42.68
7,822002,"PRAKASAM","KARAMCHEDU","Karamchedu1",80.321381,15.887126,41.95,43.12,47.1,40.62,40.78,42.67,41.99,42.86,43.92
8,806008,"PRAKASAM","PEDAARAVEEDU","BoyadaGumpula",79.243357,15.885803,39.71,42.37,41.28,38.4,38.94,38.75,39.79,39.95,42.13
9,1301011,"KURNOOL","KOWTHALAM","Thippaladoddi",77.165642,15.871667,37.88,39.53,39.37,38.11,37.74,38.86,38.7,38.95,40.71
10,1307007,"KURNOOL","KURNOOL","G.Singavaram1",77.934328,15.87304,38.44,40.62,40.25,37.11,38.86,37.67,38.82,39.12,40.9
11,806007,"PRAKASAM","PEDAARAVEEDU","ThokaPalle",79.291841,15.882713,40.14,42.47,41.63,38.57,39.15,39.85,40.61,39.94,42.93
12,1301001,"KURNOOL","KOWTHALAM","Nadichagi",77.050836,15.858904,37.94,39.48,39.59,37.72,38.25,38.88,38.72,38.88,40.81
13,1303015,"KURNOOL","MANTRALAYAM","Chilakaladona",77.417441,15.866402,38.2,40.05,39.44,38.18,38.3,37.43,38.94,39.41,40.9
14,756005,"GUNTUR","KARLAPALEM","Perali",80.564029,15.892302,41.37,40.04,43.33,41.39,39.39,41.56,40.36,40.59,41.45
15,806005,"PRAKASAM","PEDAARAVEEDU","Cumbampadu",79.334104,15.878309,40.14,42.47,41.63,38.57,39.15,39.85,40.61,39.94,42.93
16,805003,"PRAKASAM","DONAKONDA","PolePalle",79.430973,15.87979,39.87,41.61,41.32,38.09,38.82,40,40.15,39.26,42.68
17,1314002,"KURNOOL","PAMULAPADU","Jutur",78.448881,15.870672,40.06,40.46,40.8,38.41,37.73,38.24,38.7,39.29,40.29
