"Sno","SP_CODE","DISTRICT","MANDAL","VILLAGE","LON","LAT","09-04-25","10-04-25","11-04-25","12-04-25","13-04-25","14-04-25","15-04-25","16-04-25","17-04-25"
1,826001,"PRAKASAM","JANAKAVARAMPANGULU","Ramakuru",80.03999,15.892867,0.48,0.32,0.43,0.33,0.03,0.3,0.0600000000000001,0.01,0
2,1315004,"KURNOOL","JUPADUBUNGALOW","Bollavaram",78.377097,15.885363,0,0.03,2.08,0.55,0.0299999999999998,1.52,0,0,0
3,1330889,"KURNOOL","ATMAKURKURNOOL","Pinnapuram",78.654945,15.886427,0,0,4.39,6.84,0.279999999999999,1.1,0,0,0
4,820009,"PRAKASAM","MARTUR","LakkavaramAgraharam",80.061727,15.906479,0.21,0.83,0.2,0.39,0.33,0.93,0.04,0,0.0599999999999996
5,1303014,"KURNOOL","MANTRALAYAM","Budur",77.380195,15.868793,0,0,0,0,0.07,0.32,0,0,0
6,805004,"PRAKASAM","DONAKONDA","PadamaraLakshmipuram",79.387233,15.888066,0.02,0.03,0.4,0.03,0.11,0.24,0.02,0.01,0
7,822002,"PRAKASAM","KARAMCHEDU","Karamchedu1",80.321381,15.887126,1.32,2.42,0.0499999999999998,2,0.00999999999999979,0,0.0800000000000001,0,0
8,806008,"PRAKASAM","PEDAARAVEEDU","BoyadaGumpula",79.243357,15.885803,0,0.08,0.04,0.16,0.03,1.14,0.01,0.04,0
9,1301011,"KURNOOL","KOWTHALAM","Thippaladoddi",77.165642,15.871667,0,0,0.08,0.03,0,0.17,0,0,0
10,1307007,"KURNOOL","KURNOOL","G.Singavaram1",77.934328,15.87304,0,0,0.52,0.26,0.54,0.25,0,0,0
11,806007,"PRAKASAM","PEDAARAVEEDU","ThokaPalle",79.291841,15.882713,0.01,0.1,0.1,0.01,0.09,0.61,0.0199999999999999,0.02,0
12,1301001,"KURNOOL","KOWTHALAM","Nadichagi",77.050836,15.858904,0,0,1.44,0.0800000000000001,0.01,0.15,0,0,0
13,1303015,"KURNOOL","MANTRALAYAM","Chilakaladona",77.417441,15.866402,0,0,0,0,0.07,0.32,0,0,0
