"Sno","SP_CODE","DISTRICT","MANDAL","VILLAGE","LON","LAT","09-04-25","10-04-25","11-04-25","12-04-25","13-04-25","14-04-25","15-04-25","16-04-25","17-04-25"
1,826001,"PRAKASAM","JANAKAVARAMPANGULU","Ramakuru",80.03999,15.892867,37.28,36.14,40.41,36.7,36.53,35.8,36.87,37.4,38.15
2,1315004,"KURNOOL","JUPADUBUNGALOW","Bollavaram",78.377097,15.885363,38.91,40.94,40.66,38.34,38.1,37.37,39.24,39.3,40.67
3,1330889,"KURNOOL","ATMAKURKURNOOL","Pinnapuram",78.654945,15.886427,36.58,38.36,38.99,36.94,35.13,35.82,36.64,37.92,38.02
4,820009,"PRAKASAM","MARTUR","LakkavaramAgraharam",80.061727,15.906479,35.72,35.54,40.73,36.68,37.17,36.32,36.84,37.42,38.48
5,1303014,"KURNOOL","MANTRALAYAM","Budur",77.380195,15.868793,38.75,40.74,40.16,38.64,39.25,37.45,39.52,40.61,41.02
6,805004,"PRAKASAM","DONAKONDA","PadamaraLakshmipuram",79.387233,15.888066,36.96,38.2,40.7,37.34,37.63,36.34,36.89,39.27,40.33
7,822002,"PRAKASAM","KARAMCHEDU","Karamchedu1",80.321381,15.887126,36.08,35.54,37.98,35.89,36.78,35.4,35.69,36.07,36.9
8,806008,"PRAKASAM","PEDAARAVEEDU","BoyadaGumpula",79.243357,15.885803,37.66,40.05,40.22,37.89,38.52,36.9,38.27,39.77,41.08
9,1301011,"KURNOOL","KOWTHALAM","Thippaladoddi",77.165642,15.871667,38.86,40.49,40.1,38.65,39.03,39.51,39.14,40.17,40.86
10,1307007,"KURNOOL","KURNOOL","G.Singavaram1",77.934328,15.87304,38.57,41.02,40.46,36.76,39.19,37.3,39.3,40.2,41.33
11,806007,"PRAKASAM","PEDAARAVEEDU","ThokaPalle",79.291841,15.882713,37.69,39.45,41.46,38.11,38.35,36.96,38.02,40.02,41.05
12,1301001,"KURNOOL","KOWTHALAM","Nadichagi",77.050836,15.858904,39.07,40.52,40.38,38.19,39.44,39.54,38.99,40.14,40.64
13,1303015,"KURNOOL","MANTRALAYAM","Chilakaladona",77.417441,15.866402,38.75,40.74,40.16,38.64,39.25,37.45,39.52,40.61,41.02
14,756005,"GUNTUR","KARLAPALEM","Perali",80.564029,15.892302,34.49,32.24,34.27,35.4,33.99,32.63,33.55,34.07,33.76
15,806005,"PRAKASAM","PEDAARAVEEDU","Cumbampadu",79.334104,15.878309,37.69,39.45,41.46,38.11,38.35,36.96,38.02,40.02,41.05
16,805003,"PRAKASAM","DONAKONDA","PolePalle",79.430973,15.87979,36.96,38.2,40.7,37.34,37.63,36.34,36.89,39.27,40.33
17,1314002,"KURNOOL","PAMULAPADU","Jutur",78.448881,15.870672,38.91,40.94,40.66,38.34,38.1,37.37,39.24,39.3,40.67
18,806004,"PRAKASAM","PEDAARAVEEDU","Ambapuram",79.335029,15.893988,37.69,39.45,41.46,38.11,38.35,36.96,38.02,40.02,41.05
19,1314003,"KURNOOL","PAMULAPADU","Chelimella",78.480902,15.863307,38.57,40.64,40.84,38.47,37.58,36.71,39.08,39.42,40.27
20,1302015,"KURNOOL","KOSIGI","Yandapalle",77.215956,15.869363,38.86,40.49,40.1,38.65,39.03,39.51,39.14,40.17,40.86
21,804019,"PRAKASAM","KURICHEDU","Dekanakonda",79.671579,15.883023,37.38,36.91,40.62,36.69,36.88,35.84,36.52,37.17,37.97
22,757017,"GUNTUR","BAPATLA","BapatlaWestRural",80.435648,15.887003,35.71,34.5,36.45,35.83,35.64,34.35,35.05,35.46,35.62
23,807016,"PRAKASAM","DORNALA","ChilakaCherlaGudem",79.004664,15.885889,35.41,37.27,36.74,34.42,35.47,34.59,35.27,36.58,37.92
24,1307001,"KURNOOL","KURNOOL","Sunkesula",77.834714,15.870627,39.1,41.03,40.4,37.08,40.08,37.63,39.36,40.45,41.17
25,1315003,"KURNOOL","JUPADUBUNGALOW","Tangadancha",78.353557,15.866583,38.91,40.94,40.66,38.34,38.1,37.37,39.24,39.3,40.67
26,820013,"PRAKASAM","MARTUR","BollaPalle",80.09087,15.883023,35.72,35.54,40.73,36.68,37.17,36.32,36.84,37.42,38.48
27,1301010,"KURNOOL","KOWTHALAM","Chudi",77.14523,15.85101,39.07,40.52,40.38,38.19,39.44,39.54,38.99,40.14,40.64
28,814004,"PRAKASAM","MUNDLAMURU","Purimetla",79.845342,15.879728,38.13,37.75,40.4,36.73,37.38,35.84,36.84,37.62,38.4
29,1305005,"KURNOOL","CBELAGAL","Kothakota1",77.797096,15.863397,39.1,41.03,40.4,37.08,40.08,37.63,39.36,40.45,41.17
30,1307008,"KURNOOL","KURNOOL","Nidzur",77.97209,15.86234,38.57,40.95,40.71,37.26,38.08,37.3,39.2,40.05,41.2
31,1302024,"KURNOOL","KOSIGI","Kosigi1",77.247141,15.839242,38.92,40.14,40.29,38.3,39.63,38.98,39.33,40.39,40.45
32,757019,"GUNTUR","BAPATLA","Adivi",80.486393,15.850878,35.3,33.54,35.59,35.9,34.85,33.57,34.41,34.96,34.78
33,814010,"PRAKASAM","MUNDLAMURU","Marella",79.886427,15.871709,38.46,37.86,40.59,37.17,37.28,36.01,37.15,37.9,38.61
34,814006,"PRAKASAM","MUNDLAMURU","Vemula1",79.76763,15.869017,38.13,37.75,40.4,36.73,37.38,35.84,36.84,37.62,38.4
35,1303013,"KURNOOL","MANTRALAYAM","Sunkeswari",77.346557,15.85722,39,40.75,40.2,38.84,38.94,39.04,39.45,40.45,41.17
36,1308007,"KURNOOL","NANDIKOTKUR","Allur1",78.201215,15.870373,38.63,40.6,40.51,38,38.55,36.82,38.92,40.02,40.95
37,807013,"PRAKASAM","DORNALA","Nallaguntla",78.925441,15.869878,35.36,36.83,37.09,33.92,34.6,34.41,34.49,35.92,36.74
38,804018,"PRAKASAM","KURICHEDU","Peddavaram",79.638402,15.869502,37.13,37.11,40.65,37.2,36.94,36.1,36.57,37.26,38.22
39,1311007,"KURNOOL","ATMAKURKURNOOL","Krishnapuram1",78.639276,15.877106,37.82,39.89,40.76,38.48,37.03,36.24,38.52,39.3,39.89
40,825001,"PRAKASAM","INKOLLU","Nagandla",80.146407,15.880184,35.72,35.54,40.73,36.68,37.17,36.32,36.84,37.42,38.48
41,890901,"PRAKASAM","PEDAARAVEEDU","Forest",79.272004,15.877625,37.69,39.45,41.46,38.11,38.35,36.96,38.02,40.02,41.05
42,744020,"GUNTUR","NUZENDLA","Thimmapuram",79.744318,15.87715,37.38,36.91,40.62,36.69,36.88,35.84,36.52,37.17,37.97
43,804009,"PRAKASAM","KURICHEDU","NamassivayaPuram",79.60792,15.881807,37.13,37.11,40.65,37.2,36.94,36.1,36.57,37.26,38.22
44,1302023,"KURNOOL","KOSIGI","Pendekal",77.26401,15.853554,39,40.75,40.2,38.84,38.94,39.04,39.45,40.45,41.17
45,1301012,"KURNOOL","KOWTHALAM","Karani1",77.177816,15.85531,38.86,40.49,40.1,38.65,39.03,39.51,39.14,40.17,40.86
46,1315007,"KURNOOL","JUPADUBUNGALOW","Bannur",78.398107,15.860723,38.91,40.94,40.66,38.34,38.1,37.37,39.24,39.3,40.67
47,1314004,"KURNOOL","PAMULAPADU","Iskala",78.51594,15.859633,38.57,40.64,40.84,38.47,37.58,36.71,39.08,39.42,40.27
48,807011,"PRAKASAM","DORNALA","Pedamanthanala",78.891419,15.881823,35.36,36.83,37.09,33.92,34.6,34.41,34.49,35.92,36.74
49,1304013,"KURNOOL","NANDAVARAM","Ponakaladinne",77.595749,15.843108,38.78,40.42,40.6,37.73,40.46,37.73,39.11,40.48,41.3
50,757020,"GUNTUR","BAPATLA","MaruproluvaripalemRural",80.469103,15.876046,35.3,33.54,35.59,35.9,34.85,33.57,34.41,34.96,34.78
51,1305009,"KURNOOL","CBELAGAL","C.Belagal",77.662399,15.831281,39.27,40.66,40.85,36.7,39.72,37.51,39.11,40.61,41.27
52,1302026,"KURNOOL","KOSIGI","Vandagallu",77.202795,15.844364,38.92,40.14,40.29,38.3,39.63,38.98,39.33,40.39,40.45
53,1302025,"KURNOOL","KOSIGI","Nelakosigi",77.227482,15.845152,38.92,40.14,40.29,38.3,39.63,38.98,39.33,40.39,40.45
54,1308009,"KURNOOL","NANDIKOTKUR","NandiKotkur1",78.257581,15.855879,39.08,41.16,40.93,38.45,38.94,37.38,39.36,39.73,41.3
55,1307006,"KURNOOL","KURNOOL","Basavapuram",77.91545,15.849253,38.91,40.94,40.7,36.31,37.96,38.01,39.14,40.2,41.49
56,1307014,"KURNOOL","KURNOOL","E.Thandrapadu",78.050918,15.857393,38.72,40.69,40.62,37.83,37.85,37.15,39.02,40.2,40.89
57,822006,"PRAKASAM","KARAMCHEDU","Swarna",80.284883,15.858035,36.08,35.54,37.98,35.89,36.78,35.4,35.69,36.07,36.9
58,826002,"PRAKASAM","JANAKAVARAMPANGULU","KondaManjulur",80.08506,15.866574,35.72,35.54,40.73,36.68,37.17,36.32,36.84,37.42,38.48
59,1301018,"KURNOOL","KOWTHALAM","Katriki",77.08266,15.84308,39.46,40.6,40.76,38.15,39.75,39.7,39.3,40.39,40.39
60,822004,"PRAKASAM","KARAMCHEDU","Daggubadu",80.214696,15.869375,36.19,36.24,39.65,36.53,37.16,36.21,36.38,36.93,38.19
61,806009,"PRAKASAM","PEDAARAVEEDU","Badveedu",79.202687,15.867748,37.66,40.05,40.22,37.89,38.52,36.9,38.27,39.77,41.08
62,816007,"PRAKASAM","ADDANKI","ChakrayaPalem",79.953379,15.870226,37.28,36.14,40.41,36.7,36.53,35.8,36.87,37.4,38.15
63,805006,"PRAKASAM","DONAKONDA","RudraSamudram",79.407898,15.854422,36.96,38.2,40.7,37.34,37.63,36.34,36.89,39.27,40.33
64,1307009,"KURNOOL","KURNOOL","Munagalapadu",77.99343,15.853307,38.57,40.95,40.71,37.26,38.08,37.3,39.2,40.05,41.2
65,816006,"PRAKASAM","ADDANKI","Kalavakuru",79.992281,15.869266,37.28,36.14,40.41,36.7,36.53,35.8,36.87,37.4,38.15
